,,,,,,Eur,USD,Sek,,,,
,WoodenHaptics.org Bill of Materials and Recommended Equipment,,Mechanics (without wood cut costs),,, 209, 221,1 979,,,,
,,,"Motors, encoders and current drivers",,,1 475,1 564,13 983,,,,
,We will try to reduce the number of distributors to reduce complexity,,Other electronics,,, 199, 211,1 886,,,,
,"Maxon, Farnell and Misumi is easy to access globally",,Estimated total* part cost for kit:,,,1 883,1 996,17 848,,,,
,Other distributors might be tricky in some parts of the world,,,,,,,,,,,
,Let us know your experience in the forum of woodenhaptics.org ,,Estimated required tools cost:,,, 196, 208,1 862,,,,
,,,,,,,,,,,,
,"*) No labour cost included, i.e. for laser-cutting or soldering.",,1 EUR in SEK,,,kr9.48,,,,,,
,"Largest costs are in the motors, drivers and PCIe card that could",,1 EUR in USD,,,$1.06,,,,,,
,be re-used in several projects if you so wish. Required tools ,,1 EUR in CHF,,,CHF1.07,,,,,,
,(except laser-cutter and soldering tools) are included. ,,,,,,,,,,,
,,,Suggested distributor (Europe) part number,,,,,,Estimated Unit Cost €,,,
Alter- native,Our Name,quantity,Maxon,Farnell,Misumi,Elektrokit,Tecni-cable,Other Distributor,,Sum Cost,Full name,Notes
,,,,,,,,,,€0.00,,
,MECHANICS,,,,,,,,,€0.00,,
,,,,,,,,,,€0.00,,
,Raw Material,,,,,,,,,€0.00,,
,6 mm birch plywood A2 sheet (594 x 420 mm) (alternatives possible),5,,,,,,Local / cutlasercut.com,€5.27,€26.37,,
,,,,,,,,,,€0.00,,
,Construction Hardware: Base,,,,,,,,,€0.00,,
,M3x10 (for motor),6,,,CB3-10,,,,€0.09,€0.54,,
,M3x35,6,,,CB3-35,,,,€0.12,€0.72,,
,M3x50,4,,,CB3-50,,,,€0.24,€0.96,,
,M5x90,6,,,CB5-90,,,,€0.30,€1.80,,
,M3x22,10,,,CB3-22,,,,€0.10,€1.00,,
,6x10x1 washer,6,,,WSSB10-6-1,,,,€1.05,€6.30,,
,10x55x4x5 capstan (10x55 shaft (RDOF10-55) ok if 10mm coupler),1,,,SFRMHP10-55-F5-P4,,,,€7.36,€7.36,,
,10x22x6 bearing,2,,,SB6900ZZ,,,,€5.60,€11.20,,
,Flexible Coupler that fits 5mm motor shaft and 4 mm capstan,1,,,CPL12-4-5,,,,€19.00,€19.00,,
ALT,For other motor sharfts use CPL12-3-4 etc (from your shaft to 4mm),0,,,,,,,,,,
,3x20 dowel pin,4,,,MS3-20,,,,€0.08,€0.32,,
,3x40 dowel pin,7,,,MS3-40,,,,€0.20,€1.40,,
,3x60 dowel pin (Substitute with MS3-40),5,,,MS3-40,,,,€0.20,€1.00,,
,,,,,,,,,,€0.00,,
,Construction Hardware: Body A,,,,,,,,,€0.00,,
,M3x10 (for motor),12,,,CB3-10,,,,€0.09,€1.08,,
,8x22x7 bearing,2,,,B608ZZ,,,,€1.80,€3.60,,
,10x22x6 bearing,4,,,SB6900ZZ,,,,€5.60,€22.40,,
,M3x22,7,,,CB3-22,,,,€0.10,€0.70,,
,M3x18,16,,,CB3-18,,,,€0.09,€1.44,,
,M3x45,6,,,CB3-45,,,,€0.17,€1.02,,
,M6/1.0 nut,1,,,LBNR6,,,,€0.32,€0.32,,
,M4x45 full thread (thread M4/0.75),1,,,ACB4-45,,,,€0.35,€0.35,,
,M4/0.75 nut,1,,,LBNR4,,,,€0.28,€0.28,,
,8x60 Shoulder bolt,1,,,MSB8-60,,,,€0.80,€0.80,,
,8x110 Shoulder bolt (thread M6/1.0),1,,,MSB8-110,,,,€1.00,€1.00,,
,8x05 Belleville (spring) washer,1,,,SSRBW8,,,,€1.05,€1.05,,
,8x14x05 shim,6,,,CIMR8-14-0.5,,,,€0.50,€3.00,,
,Flexible Coupler that fits 5mm motor shaft and 4 mm capstan,2,,,CPL12-4-5,,,,€19.00,€38.00,,
,10x55x4x5 capstan (10x55 shaft (RDOF10-55) ok if 10mm coupler),2,,,SFRMHP10-55-F5-P4,,,,€7.36,€14.72,,
,,,,,,,,,,€0.00,,
,Construction Hardware: Body B,,,,,,,,,€0.00,,
,8x14x05 shim,1,,,CIMR8-14-0.5,,,,€0.42,€0.42,,
,8x05 Belleville (spring) washer,1,,,SSRBW8,,,,€1.05,€1.05,,
,3x25 pin,9,,,MS3-25,,,,€0.20,€1.80,,
,M3x22,11,,,CB3-22,,,,€0.10,€1.10,,
,8x22x7 bearing,4,,,B608ZZ,,,,€1.80,,,
,M4x45 full thread (thread M4/0.75),1,,,ACB4-45,,,,€0.35,€0.35,,
,M4/0.75 nut,1,,,LBNR4,,,,€0.28,€0.28,,
,,,,,,,,,,,,
,,,,,,,,,,€0.00,,
,Construction Hardware: Body C,,,,,,,,,€0.00,,
,M3x30,4,,,CB3-30,,,,€0.12,€0.48,,
,M3x18,2,,,CB3-18,,,,€0.09,€0.18,,
,3x20 dowel pin,2,,,MS3-20,,,,€0.08,€0.16,,
,3x35 dowel pin (3x30 preferred),4,,,MS3-35,,,,€0.20,€0.80,,
,8x60 shoulder bolt,1,,,MSB8-60,,,,€0.80,€0.80,,
,8x14x05 shim,9,,,CIMR8-14-0.5,,,,€0.42,€3.78,,
,8x05 belleville (spring) washer,1,,,SSRBW8,,,,€1.05,€1.05,,
,M6 nut (1mm thread),1,,,LBNR6,,,,€0.32,€0.32,,
,"M4 35 mm screw with ""nut"" cap",1,,,HXN-STC-M4-35,,,,,,,
,Red ball door knob,1,,,,,,Clas Ohlson: ,,,,
,,,,,,,,,,€0.00,,
,Construction Hardware: Body C',,,,,,,,,€0.00,,
,M4x45 full thread (thread M4/0.75),1,,,ACB4-45,,,,€0.35,€0.35,,
,M4/0.75 nut,1,,,LBNR4,,,,€0.28,€0.28,,
,M3x22,7,,,CB3-22,,,,€0.10,€0.70,,
,8x22x7 bearing,2,,,B608ZZ,,,,€1.80,€3.60,,
,3x35 dowel pin,4,,,MS3-35,,,,€0.20,€0.80,,
,M3x35,3,,,CB3-35,,,,€0.12,€0.36,,
,8x14x05 shim,6,,,CIMR8-14-0.5,,,,€0.42,€2.52,,
,,,,,,,,,,€0.00,,
,Construction Hardware: Cabling,,,,,,,,,€0.00,,
,"Wire rope 7x7 core, 0.54 mm (more threads preferable)",10,,,,,603.000.540,,€0.89,€8.89,0.54mm 7x7 A4-AISI 316 Stainless Steel Cable MBL 16kgs - 603.000.540,
,Double ferrule (for crimping onto wire rope),20,,,,,115.000.700,,€0.24,€4.77,Code 0.7 Double Copper Ferrule,
,Turnbuckle (spannschloss),1,,,,,,Hobbykellershop.eu: 018-3051 ,€6.17,€6.17,Spannschloss M2.5 - High Precision,
,,,,,,,,,,€0.00,,
,Required Tools for Mechanics Workbench,,,,,,,,,€0.00,,
