,,,,,,,,Lowest,,,,,
,WoodenHaptics.org Bill of Materials and Recommended Equipment,,Estimated part cost w/o motor & enc.:,,,,€962.23,€962.23,,,,,
,,,Estimated motor & encoder cost:,,,,"€1,420.78","€1,420.78",,,,,
,We will try to reduce the number of distributors to reduce complexity,,Estimated PC connection cost:,,,,€811.29,€51.61,,,,,
,"Maxon, Farnell and Misumi is easy to access globally",,Estimated required tools cost:,,,,€196.95,€0.00,,,,,
,Other distributors might be tricky in some parts of the world,,Estimated total* part cost for kit:,,,,"€3,391.25","€2,434.62",,,,,
,Let us know your experience in the forum of woodenhaptics.org ,,,,,,,,,,,,
,,,,,,,,,,,,,
,"*) No labour cost included, i.e. for laser-cutting or soldering.",,1 EUR in SEK,,,,kr9.45,,,,,,
,"Largest costs are in the motors, drivers and PCIe card that could",,1 EUR in USD,,,,$1.19,,,,,,
,be re-used in several projects if you so wish. Required tools ,,1 EUR in CHF,,,,CHF1.03,,,,,,
,(except laser-cutter and soldering tools) are included. ,,,,,,,,,,,,
,,,Suggested distributor (Europe) part number,,,,,,,Estimated Unit Cost €,,,
Alter- native,Our Name,quantity,Maxon,McMaster,Farnell,Misumi,Elektrokit,Tecni-cable,Other Distributor,,Full name,Notes,Sum Cost
,,,,,,,,,,,,,€0.00
,MECHANICS,,,,,,,,,,,,€0.00
,,,,,,,,,,,,,€0.00
,Raw Material,,,,,,,,,,,,€0.00
,6 mm birch plywood A2 sheet (594 x 420 mm) (alternatives possible),5,,,,,,,Local / cutlasercut.com,€5.29,,,€26.46
,,,,,,,,,,,,,€0.00
,Construction Hardware: Base,,,,,,,,,,,,€0.00
,M3x10 (for motor),6,,,,CB3-10,,,,€0.09,,,€0.54
,M3x35,6,,91290A135,,CB3-35,,,,€0.12,,,€0.72
,M3x50,4,,91290A137,,CB3-50,,,,€0.24,,,€0.96
,M5x90,6,,91290A278,,CB5-90,,,,€0.30,,,€1.80
,M3x22,10,,91290A124,,CB3-22,,,,€0.10,,,€1.00
,6x10x1 washer,6,,,,WSSB10-6-1,,,,€1.05,,,€6.30
,10x55x4x5 capstan (10x55 shaft (RDOF10-55) ok if 10mm coupler),1,,,,SFRMHP10-55-F5-P4,,,,€7.36,,,€7.36
,10x22x6 bearing,2,,,,SB6900ZZ,,,,€5.60,,,€11.20
,Flexible Coupler that fits motor shaft diameter and 4 (10) mm capstan,1,,,,CPL25-6-10,,,,€28.80,,,€28.80
ALT,"For smaller motor, use CPL12-3-4 or CPL12-4-5",0,,,,,,,,,,,
,3x20 dowel pin,4,,,,MS3-20,,,,€0.08,,,€0.32
,3x40 dowel pin,7,,,,MS3-40,,,,€0.20,,,€1.40
,3x60 dowel pin (Substitute with MS3-40),5,,,,MS3-40,,,,€0.20,,,€1.00
,,,,,,,,,,,,,€0.00
,Construction Hardware: Body A,,,,,,,,,,,,€0.00
,M3x10 (for motor),12,,,,CB3-10,,,,€0.09,,,€1.08
,8x22x7 bearing,2,,,,B608ZZ,,,,€1.80,,,€3.60
,10x22x6 bearing,4,,,,SB6900ZZ,,,,€5.60,,,€22.40
,M3x22,7,,,,CB3-22,,,,€0.10,,,€0.70
,M3x18,16,,,,CB3-18,,,,€0.09,,,€1.44
,M3x45,6,,,,CB3-45,,,,€0.17,,,€1.02
,M6/1.0 nut,1,,,,LBNR6,,,,€0.32,,,€0.32
,M4x45 full thread (thread M4/0.75),1,,,,ACB4-45,,,,€0.35,,,€0.35
,M4/0.75 nut,1,,,,LBNR4,,,,€0.28,,,€0.28
,8x60 Shoulder bolt,1,,92981A215,,MSB8-60,,,,€0.80,,,€0.80
,8x110 Shoulder bolt (thread M6/1.0),1,,,,MSB8-110,,,,€1.00,,,€1.00
,8x05 Belleville (spring) washer,1,,94065K340,,SSRBW8,,,,€1.05,,,€1.05
,8x14x05 shim,6,,98055A114,,CIMR8-14-0.5,,,,€0.50,,,€3.00
,Flexible Coupler (25x10x6 or 16x6x5),2,,,,CPL25-6-10,,,,€28.80,,,€57.60
,10x55x4x5 capstan (10x55 shaft (RDOF10-55) ok if 10mm coupler),2,,,,SFRMHP10-55-F5-P4,,,,€7.36,,,€14.72
,,,,,,,,,,,,,€0.00
,Construction Hardware: Body B,,,,,,,,,,,,€0.00
,8x14x05 shim,1,,98055A114,,CIMR8-14-0.5,,,,€0.42,,,€0.42
,8x05 Belleville (spring) washer,1,,94065K340,,SSRBW8,,,,€1.05,,,€1.05
,3x25 pin,9,,,,MS3-25,,,,€0.20,,,€1.80
,M3x22,11,,,,CB3-22,,,,€0.10,,,€1.10
,8x22x7 bearing,4,,,,B608ZZ,,,,€1.80,,,
,M4x45 full thread (thread M4/0.75),1,,,,ACB4-45,,,,€0.35,,,€0.35
,M4/0.75 nut,1,,,,LBNR4,,,,€0.28,,,€0.28
,,,,,,,,,,,,,
,,,,,,,,,,,,,€0.00
,Construction Hardware: Body C,,,,,,,,,,,,€0.00
,M3x30,4,,,,CB3-30,,,,€0.12,,,€0.48
,M3x18,2,,,,CB3-18,,,,€0.09,,,€0.18
,3x20 dowel pin,2,,,,MS3-20,,,,€0.08,,,€0.16
,3x35 dowel pin (3x30 preferred),4,,,,MS3-35,,,,€0.20,,,€0.80
,8x60 shoulder bolt,1,,92981A215,,MSB8-60,,,,€0.80,,,€0.80
,8x14x05 shim,9,,98055A114,,CIMR8-14-0.5,,,,€0.42,,,€3.78
,8x05 belleville (spring) washer,1,,,,SSRBW8,,,,€1.05,,,€1.05
,M6 nut (1mm thread),1,,,,LBNR6,,,,€0.32,,,€0.32
,,,,,,,,,,,,,€0.00
,Construction Hardware: Body C',,,,,,,,,,,,€0.00
,M4x45 full thread (thread M4/0.75),1,,,,ACB4-45,,,,€0.35,,,€0.35
